CHART,OI,CHNG IN OI,VOLUME,IV,LTP,NET CHNG,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,STRIKE PRICE,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,NET CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,CHART
,"1,200",-450,23,-,744.95,-336.10,225,745.95,806.25,75,8200.00,75,6.20,6.40,450,2.60,6.40,64.09,"33,375","113,025","602,550",
,75,-,-,-,999.10,-,"1,125",652.00,817.95,"1,125",8250.00,75,4.25,7.65,150,3.35,7.65,62.69,"7,853","2,325","15,825",
,"3,000",-225,9,-,658.15,-319.50,150,648.10,657.50,525,8300.00,225,9.20,9.25,450,4.25,9.25,61.33,"55,397","75,075","407,625",
,-,-,-,-,-,-,75,597.50,711.45,75,8350.00,75,11.15,11.80,75,6.05,11.80,60.52,"5,475","9,000","24,150",
,"3,525",-525,23,-,568.00,-302.00,75,553.90,576.00,"1,725",8400.00,150,14.00,14.30,75,7.55,14.20,59.46,"60,889","37,350","362,475",
,75,-,-,-,836.00,-,675,504.25,601.80,"1,200",8450.00,75,17.80,18.00,150,9.80,17.80,58.57,"8,235","17,025","34,425",
,"37,500","6,825",802,-,463.25,-291.05,75,462.05,467.20,300,8500.00,75,21.80,22.00,975,12.45,21.95,58.17,"182,362","-149,550","931,800",
,75,75,3,34.62,440.50,-726.40,75,404.85,437.55,75,8550.00,75,26.75,27.95,"1,650",16.00,27.00,57.81,"16,663","39,225","75,675",
,"12,225","2,625",416,-,376.00,-278.90,"1,875",343.65,377.50,75,8600.00,600,33.60,33.80,75,20.25,33.60,57.03,"176,078","133,500","661,575",
,75,75,7,35.67,340.20,-743.55,75,316.20,351.55,75,8650.00,75,40.50,42.00,225,25.55,41.70,56.56,"15,745","7,650","37,800",
,"50,700","25,725","3,133",39.07,296.40,-268.50,75,290.85,297.90,150,8700.00,75,50.55,51.00,"1,875",31.45,51.00,55.56,"232,220","213,000","978,300",
